Name,Description,Location,Price,Url,Image
5 Bed House with Garden at Gigiri,5 Bed House with Garden at Gigiri,"Gigiri, Westlands","KSh 500,000",/listings/5-bedroom-house-for-rent-gigiri-3648988,https://i.roamcdn.net/prop/brk/listing-thumb-376w/1f6016bfed555bdd40f529c58232af49/-/prod-property-core-backend-media-brk/5893218/caecdcde-4b7f-4778-8aff-290a1ed0ec18.jfif
5 Bed House with En Suite in Karen,5 Bed House with En Suite in Karen,Karen,"KSh 430,000",/listings/5-bedroom-house-for-rent-karen-3612681,https://i.roamcdn.net/prop/brk/listing-thumb-376w/4cd67fcb11e4d0e643d0f836be2352e2/-/prod-property-core-backend-media-brk/5352788/dbd47902-27e4-40fc-a4b7-72512ea05f63.jpg
5 Bed Villa with En Suite at Aloo Drive,5 Bed Villa with En Suite at Aloo Drive,"Mtwapa, Aloo drive","KSh 60,000",/listings/5-bedroom-villa-for-rent-mtwapa-4-3562422,https://i.roamcdn.net/prop/brk/listing-thumb-376w/d398669a7257c0281a3fb10691ef48f8/-/prod-property-core-backend-media-brk/4615688/a4c39af4-fc17-4a07-acd0-0b35b39434b9.jpg
1 Bed House with En Suite in Ridgeways,1 Bed House with En Suite in Ridgeways,Ridgeways,"KSh 50,000",/listings/furnished-1-bedroom-house-for-rent-ridgeways-3648670,https://i.roamcdn.net/prop/brk/listing-thumb-376w/6dd3a47e2d036037dc704ac78ee8b866/-/prod-property-core-backend-media-brk/5888708/b30e2c86-ef52-4093-85fa-20221260cc40.jpg
4 Bed House with En Suite at Runda,4 Bed House with En Suite at Runda,"01, Runda, Westlands","KSh 300,000",/listings/4-bedroom-house-for-rent-runda-3644874,https://i.roamcdn.net/prop/brk/listing-thumb-376w/6d1074775b4c5fc418189c8610b62ccf/-/prod-property-core-backend-media-brk/5832636/94b5f34c-43eb-4e7b-8fcc-d067c1a7be24.jpeg
4 Bed House with En Suite at Nairobi,4 Bed House with En Suite at Nairobi,"01, muthaiga, Nairobi, Muthaiga","KSh 380,000",/listings/4-bedroom-house-for-rent-muthaiga-3648922,https://i.roamcdn.net/prop/brk/listing-thumb-376w/22abf05d7dd206c7a268684e5e4ad92c/-/prod-property-core-backend-media-brk/5892277/c3fee446-4733-43ef-a20f-e0b9b3079a62.jpg
3 Bed House with En Suite at Lavington,3 Bed House with En Suite at Lavington,Lavington,"KSh 230,000",/listings/3-bedroom-house-for-rent-lavington-2-3574760,https://i.roamcdn.net/prop/brk/listing-thumb-376w/028a8ea3fef58938dc8e2604bb26d8de/-/prod-property-core-backend-media-brk/4799453/9da2a8e8-082a-49f3-8cb9-6d9e88ef8125.jpg
3 Bed House with En Suite at Runda,3 Bed House with En Suite at Runda,"01, Kiambu Road, Runda","KSh 310,000",/listings/furnished-3-bedroom-house-for-rent-kiambu-road-3648517,https://i.roamcdn.net/prop/brk/listing-thumb-376w/2892fc9888285ded808ed6b3ebff0d07/-/prod-property-core-backend-media-brk/5886421/2de6f48e-15ca-4629-ae29-cde12824ea70.jpeg
4 Bed House with En Suite in Kitisuru,4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","KSh 510,000",/listings/4-bedroom-house-for-rent-kitisuru-3626491,https://i.roamcdn.net/prop/brk/listing-thumb-376w/b6e946a9377681e1eea508aaeaa84790/-/prod-property-core-backend-media-brk/5562263/36fa49ab-b345-4267-9032-7fc547f4073c.jpg
4 Bed Townhouse in Kilimani,4 Bed Townhouse in Kilimani,Kilimani,"KSh 235,000",/listings/4-bedroom-townhouse-for-rent-kilimani-3638535,https://i.roamcdn.net/prop/brk/listing-thumb-376w/07f41781bcce08fe5852ad674c04f469/-/prod-property-core-backend-media-brk/5740769/35c7fecf-2432-4e09-a810-1bda798c5243.jpg
5 Bed House with En Suite in Runda,5 Bed House with En Suite in Runda,"Runda, Westlands","KSh 220,000",/listings/5-bedroom-house-for-rent-runda-3-3472912,https://i.roamcdn.net/prop/brk/listing-thumb-376w/9a0d81a4a7e5869538a5ee447e141688/-/prod-property-core-backend-media-brk/3210066/68b80df9-b5ea-4837-94ff-c3667f87e21b.jpg
4 Bed House with En Suite in Lower Kabete,4 Bed House with En Suite in Lower Kabete,"Lower Kabete, Westlands","KSh 300,000",/listings/4-bedroom-house-for-rent-lower-kabete-3564923,https://i.roamcdn.net/prop/brk/listing-thumb-376w/996f71c7d08b982f55897871fe48f73d/-/prod-property-core-backend-media-brk/5773397/a69df057-cb7d-4c05-bcc3-6d291fdb4731.jpg
3 Bed Townhouse with En Suite at Hurlingham,3 Bed Townhouse with En Suite at Hurlingham,Hurlingham,"KSh 125,000",/listings/3-bedroom-townhouse-for-rent-hurlingham-3637915,https://i.roamcdn.net/prop/brk/listing-thumb-376w/185af574031bfee6c64b98fe5261298f/-/prod-property-core-backend-media-brk/5735531/d2d16a35-1d8e-47f4-94bb-1cbe04bd0a11.jpg
6 Bed Townhouse with En Suite in Lavington,6 Bed Townhouse with En Suite in Lavington,Lavington,"KSh 240,000",/listings/6-bedroom-townhouse-for-rent-lavington-3620105,https://i.roamcdn.net/prop/brk/listing-thumb-376w/386c59f491c92c04d25f66a7de2de393/-/prod-property-core-backend-media-brk/5467089/fba42bb9-00ab-47d5-9c41-f2113b55e8e5.jpeg
3 Bed Townhouse with Garden in Westlands Area,3 Bed Townhouse with Garden in Westlands Area,"Raphta rd Nairobi, Westlands Area, Westlands","KSh 90,000",/listings/3-bedroom-townhouse-for-rent-westlands-area-3648759,https://i.roamcdn.net/prop/brk/listing-thumb-376w/ab515a014d12ea6faed94a9270b86f6c/-/prod-property-core-backend-media-brk/5889931/21ecd3c7-e6bb-418b-940f-9585cd5c384b.jpg
4 Bed Townhouse with En Suite at Spring Valley,4 Bed Townhouse with En Suite at Spring Valley,"Spring Valley, Westlands","KSh 280,000",/listings/4-bedroom-townhouse-for-rent-spring-valley-3647676,https://i.roamcdn.net/prop/brk/listing-thumb-376w/a6887f91b2d904630a99071a3236d56d/-/prod-property-core-backend-media-brk/5874171/d944843b-9a81-4a29-8385-26cc9c6f582f.jpg
5 Bed House with En Suite at Karen,5 Bed House with En Suite at Karen,"01, Karen","KSh 450,000",/listings/5-bedroom-house-for-rent-karen-3645068,https://i.roamcdn.net/prop/brk/listing-thumb-376w/9ffec05abd57d156d2656a7d048fbf97/-/prod-property-core-backend-media-brk/5835715/6695ef20-72d8-493b-a039-0d2ad0926bee.jpeg
5 Bed House with En Suite in Karen,5 Bed House with En Suite in Karen,Karen,"KSh 300,000",/listings/5-bedroom-house-for-rent-karen-3594212,https://i.roamcdn.net/prop/brk/listing-thumb-376w/7adf813be9b2b09e4dcd1d9d31c85e05/-/prod-property-core-backend-media-brk/5077975/293d4c8f-0ff3-4bf9-b5e2-6cf0331b821a.jpg
3 Bed House at Rimpa,3 Bed House at Rimpa,"Rimpa, Ongata Rongai","KSh 30,000",/listings/3-bedroom-house-for-rent-ongata-rongai-1-3431159,https://i.roamcdn.net/prop/brk/listing-thumb-376w/eac077c60528f76758badfd64dee45a5/-/prod-property-core-backend-media-brk/2379557/2af23331-e307-42af-ab04-a7c532629f6a.jpg
4 Bed House in Nyari,4 Bed House in Nyari,"Nyari, Westlands",Price not communicated,/listings/4-bedroom-house-for-rent-nyari-3623660,https://i.roamcdn.net/prop/brk/listing-thumb-376w/c18df8c33939424def6ea66c405232c6/-/prod-property-core-backend-media-brk/5520842/6deae430-b3e5-4ab1-90e7-966f30cc791a.jpg
4 Bed Townhouse with En Suite at Ridgeways,4 Bed Townhouse with En Suite at Ridgeways,Ridgeways,"KSh 285,000",/listings/4-bedroom-townhouse-for-rent-ridgeways-3639903,https://i.roamcdn.net/prop/brk/listing-thumb-376w/343e31e67b6789be4d515198a0a9ddc2/-/prod-property-core-backend-media-brk/5760878/a3b24da6-4f29-4c18-9c64-d0dac122eb32.png
2 Bed House with En Suite at Westland,2 Bed House with En Suite at Westland,"01, Runda, Westland, Westlands","KSh 250,000",/listings/furnished-2-bedroom-house-for-rent-runda-3646200,https://i.roamcdn.net/prop/brk/listing-thumb-376w/eba186a633a44a0548fd7203c1ec9055/-/prod-property-core-backend-media-brk/5852679/b88440f3-d5e3-4a8a-a4e5-5a1479d9b0fc.jpeg
4 Bed House with En Suite at Westland,4 Bed House with En Suite at Westland,"01, spring valley, Westland, Spring Valley, Westlands","KSh 250,000",/listings/4-bedroom-house-for-rent-spring-valley-3642431,https://i.roamcdn.net/prop/brk/listing-thumb-376w/df016c9f028143592ade9d7050911565/-/prod-property-core-backend-media-brk/5798332/dcc25e54-06c9-4171-b3fd-6c729a3dfa05.jpg
7 Bed House with En Suite at Karen,7 Bed House with En Suite at Karen,"karen, Karen","KSh 850,000",/listings/7-bedroom-house-for-rent-karen-3632934,https://i.roamcdn.net/prop/brk/listing-thumb-376w/5e6287f395624a2b16a0ef69343ef2f7/-/prod-property-core-backend-media-brk/5659050/89eb8bc0-7814-46d2-b639-4f9511ec2a16.jpeg
4 Bed House with En Suite in Kitisuru,4 Bed House with En Suite in Kitisuru,"Kitisuru, Westlands","KSh 250,000",/listings/4-bedroom-house-for-rent-kitisuru-60-3551672,https://i.roamcdn.net/prop/brk/listing-thumb-376w/ca341ede51ecbeb3c6950b1b808af289/-/prod-property-core-backend-media-brk/5115058/47cf07a1-91b9-42be-a2e7-921678a1169e.jpeg
5 Bed Townhouse with En Suite in Lavington,5 Bed Townhouse with En Suite in Lavington,Lavington,"KSh 200,000",/listings/5-bedroom-townhouse-for-rent-lavington-3620371,https://i.roamcdn.net/prop/brk/listing-thumb-376w/05d7153dd1d18ae008961872ba13a779/-/prod-property-core-backend-media-brk/5470867/5b5681b3-27d2-4ce6-a5f0-ecc89475027b.jpg
